2025-04-04 13:52:25 [main] INFO  testCases.TC1_AccountRegistrationtest - launching edge browser
2025-04-04 13:52:26 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************STARTING TC01************************
2025-04-04 13:52:27 [main] INFO  testCases.TC1_AccountRegistrationtest - Clicked on My account link
2025-04-04 13:52:27 [main] INFO  testCases.TC1_AccountRegistrationtest - Providing customer details
2025-04-04 13:52:29 [main] INFO  testCases.TC1_AccountRegistrationtest - validating message
2025-04-04 13:52:29 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 is PASSED******************************
2025-04-04 13:52:29 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 Finished******************************
2025-04-04 13:52:31 [main] INFO  testCases.TC2_Lohgintest - launching edge browser
2025-04-04 13:52:33 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 STARTED*********************
2025-04-04 13:52:33 [main] INFO  testCases.TC2_Lohgintest - Clicked on My Account
2025-04-04 13:52:33 [main] INFO  testCases.TC2_Lohgintest - Clicked on Login
2025-04-04 13:52:33 [main] INFO  testCases.TC2_Lohgintest - entered username
2025-04-04 13:52:33 [main] INFO  testCases.TC2_Lohgintest - entered password
2025-04-04 13:52:34 [main] INFO  testCases.TC2_Lohgintest - Clicked on Login
2025-04-04 13:52:34 [main] INFO  testCases.TC2_Lohgintest - required page exists
2025-04-04 13:52:34 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 PASSED*********************
2025-04-04 13:52:34 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 FINISHED*********************
